time	I(C1)	I(C2)	I(L1)
6.927400127251943e+001	8.950871e-003	4.731696e-002	1.362561e+000
6.934542984394800e+001	1.141294e-002	4.463206e-002	1.360058e+000
6.948828698680514e+001	1.633532e-002	3.926670e-002	1.355025e+000
6.963114412966226e+001	2.119928e-002	3.396321e-002	1.350012e+000
6.977400127251940e+001	2.600480e-002	2.872158e-002	1.345020e+000
6.991685841537654e+001	3.075188e-002	2.354183e-002	1.340049e+000
7.005971555823368e+001	3.544053e-002	1.842394e-002	1.335098e+000
7.020257270109080e+001	4.007074e-002	1.336792e-002	1.330168e+000
7.034542984394794e+001	4.464252e-002	8.373776e-003	1.325259e+000
7.044542984394794e+001	4.777274e-002	4.949827e-003	1.321872e+000
7.054542984394793e+001	5.085553e-002	1.574950e-003	1.318515e+000
7.064542984394792e+001	5.388796e-002	-1.747955e-003	1.315192e+000
7.074542984394792e+001	5.686720e-002	-5.016058e-003	1.311905e+000
7.084542984394791e+001	5.979047e-002	-8.226595e-003	1.308657e+000
7.094542984394791e+001	6.265508e-002	-1.137688e-002	1.305453e+000
7.114542984394790e+001	6.819787e-002	-1.748627e-002	1.299183e+000
7.134542984394788e+001	7.347549e-002	-2.332424e-002	1.293118e+000
7.154542984394787e+001	7.846916e-002	-2.887205e-002	1.287280e+000
7.174542984394786e+001	8.316139e-002	-3.411232e-002	1.281689e+000
7.204542984394784e+001	8.959988e-002	-4.136152e-002	1.273810e+000
7.234542984394783e+001	9.527637e-002	-4.783532e-002	1.266592e+000
7.264542984394781e+001	1.001505e-001	-5.349355e-002	1.260089e+000
7.294542984394779e+001	1.041896e-001	-5.830389e-002	1.254346e+000
7.324542984394778e+001	1.073694e-001	-6.224205e-002	1.249402e+000
7.354542984394776e+001	1.096732e-001	-6.529182e-002	1.245288e+000
7.384542984394774e+001	1.110930e-001	-6.744513e-002	1.242028e+000
7.414542984394772e+001	1.116284e-001	-6.870195e-002	1.239635e+000
7.444542984394771e+001	1.112871e-001	-6.907018e-002	1.238118e+000
7.474542984394769e+001	1.100845e-001	-6.856542e-002	1.237474e+000
7.504542984394767e+001	1.080436e-001	-6.721076e-002	1.237697e+000
7.534542984394766e+001	1.051944e-001	-6.503640e-002	1.238768e+000
7.564542984394764e+001	1.015735e-001	-6.207929e-002	1.240665e+000
7.594542984394762e+001	9.722410e-002	-5.838268e-002	1.243357e+000
7.624542984394761e+001	9.219506e-002	-5.399562e-002	1.246806e+000
7.654542984394759e+001	8.654053e-002	-4.897248e-002	1.250971e+000
7.684542984394757e+001	8.031940e-002	-4.337230e-002	1.255801e+000
7.714542984394755e+001	7.359467e-002	-3.725826e-002	1.261242e+000
7.744542984394754e+001	6.643281e-002	-3.069698e-002	1.267237e+000
7.774542984394752e+001	5.890311e-002	-2.375795e-002	1.273721e+000
7.804542984394750e+001	5.107705e-002	-1.651279e-002	1.280631e+000
7.834542984394749e+001	4.302759e-002	-9.034622e-003	1.287896e+000
7.854542984394747e+001	3.757358e-002	-3.956225e-003	1.292902e+000
7.864542984394747e+001	3.482849e-002	-1.397379e-003	1.295446e+000
7.874542984394746e+001	3.207499e-002	1.170908e-003	1.298013e+000
7.944542984394742e+001	1.279290e-002	1.918492e-002	1.316424e+000
7.974542984394741e+001	4.671552e-003	2.677771e-002	1.324400e+000
7.984542984394740e+001	2.002448e-003	2.927258e-002	1.327050e+000
7.994542984394739e+001	-6.434758e-004	3.174524e-002	1.329692e+000
8.004542984394739e+001	-3.263767e-003	3.419322e-002	1.332324e+000
8.014542984394738e+001	-5.856012e-003	3.661411e-002	1.334941e+000
8.034542984394737e+001	-1.094692e-002	4.136515e-002	1.340126e+000
8.054542984394736e+001	-1.589775e-002	4.597987e-002	1.345226e+000
8.084542984394734e+001	-2.302288e-002	5.260778e-002	1.352676e+000
8.114542984394733e+001	-2.973702e-002	5.883294e-002	1.359830e+000
8.144542984394731e+001	-3.598856e-002	6.460356e-002	1.366630e+000
8.174542984394729e+001	-4.173082e-002	6.987286e-002	1.373020e+000
8.204542984394728e+001	-4.692242e-002	7.459930e-002	1.378951e+000
8.234542984394726e+001	-5.152754e-002	7.874696e-002	1.384378e+000
8.264542984394724e+001	-5.551616e-002	8.228569e-002	1.389259e+000
8.294542984394722e+001	-5.886425e-002	8.519132e-002	1.393561e+000
8.337400127251863e+001	-6.242067e-002	8.812913e-002	1.398645e+000
8.380257270109003e+001	-6.466293e-002	8.976652e-002	1.402404e+000
